createdAt;updatedAt;id;externalId;source;title;subtitle;externalLink;state;types;isbn10;isbn13;releaseDate;originalReleaseDate;releaseYear;originalReleaseYear;placeOfPublication;description;remoteImageUrl;thumbnailRemoteImageUrl;externalAverageRating;userRating;pages;audiobookDuration;languages;purchaseDate;purchasePrice;purchaseCurrency;series;seriesNumber;location;bookcase;shelf;authors;narrators;illustrators;translators;publishers;categories;tags;readingStatus;startReading;endReading
2025-09-10;2025-10-06;0B4C9ED9-C0FA-419A-A127-11FAC50ED696;Lbri0AEACAAJ;GOOGLE_BOOKS;120 дней Содома, или Школа разврата;;http://books.google.es/books?id=Lbri0AEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;5699950117;9785699950119;2023-01-01;;;;;;;;;3.0380198490324464;478;;ru;;;;;;;;;Сад,Маркиз де;;;Храмова,Е.;Эксмо;Abuse,Classics,Pedophilia,Violence;;read;2025-09-25;2025-10-06
2025-11-03;2025-11-03;166F69EB-E767-41A5-9457-A678836DD325;235807721;GOODREADS;220 метров;;https://www.goodreads.com/book/show/235807721-220;NOT_OWNED;AUDIOBOOK;5002236499;9785002236497;;;;;;;;;3.98;3.0;241;450;;;;;;;;;;Овчинникова,Евгения;;;;;Contemporary ,Crime;;read;2025-10-19;2025-11-03
2025-02-04;2025-02-04;596468B2-E9C9-4790-9076-B50644E2075B;;USER;366;;;NOT_OWNED;EBOOK;;;;;;;;Гермиона Грейнджер старший детектив, который расследует начавшуюся серию убийств. На телах жертв появляется клеймо в форме карт. Вся магическая Великобритания в страхе.   Министр магии Драко Малфой озабочен появившемся убийцей. Он просит как можно быстрее расследовать это дело.   Серийника прозвали Карточником.;;;;3.0;67;;;;;;;;;;;На губе,Волосинка;;;;;Fan fiction,Fantasy ;;read;2024-02-12;2024-02-13
2025-05-27;2025-05-28;5BA0215D-6357-47DB-B95C-3227C6FC6683;D887432C-67A6-44AD-B977-611C8FADE302;ISBNDB;451 градус по фаренгейту;;;BOOKSHELF;EBOOK;569968137X;9785699681372;1953-01-01;;;;;"«451° по Фаренгейту» – роман, принесший писателю мировую известность. 451° по Фаренгейту – температура, при которой воспламеняется и горит бумага. Философская антиутопия Рэя Брэдбери рисует беспросветную картину развития постиндустриального общества; это мир будущего, в котором все письменные издания безжалостно уничтожаются специальным отрядом пожарных, а хранение книг преследуется по закону, интерактивное телевидение успешно служит всеобщему оболваниванию, карательная психиатрия решительно разбирается с редкими инакомыслящими, а на охоту за неисправимыми диссидентами выходит электрический пес...";https://images.isbndb.com/covers/9837293484217.jpg;https://images.isbndb.com/covers/9837293484217.jpg;;5.0;272;;ru;;;;;;;;;Брэдбери,Рэй;;;Шинкарь,Т.;Эксмо;Dystopia ;;read;2025-05-28;2025-05-28
2025-04-13;2025-11-17;BA5887AA-21D2-4C89-879E-10331C8AFD34;QQT4zQEACAAJ;GOOGLE_BOOKS;1913, лето целого века;;http://books.google.es/books?id=QQT4zQEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;5911034433;9785911034436;2020-01-01;;;;;;;;;;271;;ru;;;;;;;;;Иллиес,Флориан;;;Ташкенов,Сергей;Ad Marginem Press;Art,Non-fiction;;unread;;
2025-05-27;2025-05-27;24CB5744-D480-46DD-A9AC-2E5B4B538039;1SveDwAAQBAJ;GOOGLE_BOOKS;1913. Что я на самом деле хотел сказать;;http://books.google.es/books?id=1SveDwAAQBAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;5911035294;9785911035297;2019-06-11;;;;;Вам бы хотелось, чтобы книга Флориана Иллиеса «1913. Лето целого века» не заканчивалась? Автор чувствовал то же самое. В течение многих лет он искал и собирал новые захватывающие истории из этого невероятного года. Результат вы держите в руках. В продолжении международного бестселлера «тизер ХХ века», как сформулировала в свое время пресса, разворачивается в масштабную диораму: старые герои высвечиваются с новой стороны, к ним присоединяются Фернандо Пессоа, Максим Горький, Джек Лондон и многие другие события, явления и люди, создавшие современность. Ждите новых историй, полных любви и остроумия, настолько невероятных, что они могут быть только правдой. И попробуйте вместе с автором выяснить, где же заканчивается лето целого века.;http://books.google.com/books/publisher/content?id=1SveDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70kalFwW86j8OpP2DnZsn-s0d25MUR9Ay1xbk2tGZYJ_ZOmGVFFnIcQYvGbXM9AdZlV1zaJflEQqMvcZKIut9R0M-aNMoAooS__8Du2TQHasYHgxeICFdRAG01OSosVy36FrXwI&source=gbs_api&fife=w1000-h1000;http://books.google.com/books/publisher/content?id=1SveDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70kalFwW86j8OpP2DnZsn-s0d25MUR9Ay1xbk2tGZYJ_ZOmGVFFnIcQYvGbXM9AdZlV1zaJflEQqMvcZKIut9R0M-aNMoAooS__8Du2TQHasYHgxeICFdRAG01OSosVy36FrXwI&source=gbs_api&fife=w1000-h1000;;;192;;ru;2025-05-15;14.99;EUR;;;;;;Иллиес,Флориан;;;Серов,Виталий;Ad Marginem;;;unread;;
2025-05-29;2025-05-29;B77EBBAD-F0E1-4F5B-A3AF-B3A180EAA705;qbaL0AEACAAJ;GOOGLE_BOOKS;2666;;http://books.google.es/books?id=qbaL0AEACAAJ&hl=&source=gbs_api;BOOKSHELF;HARDCOVER;517116780X;9785171167806;2022-01-01;;;;;;;;;;908;;ru;2025-04-27;25.02;EUR;;;;;;Боланьо,Роберто;;;Осипова,Марина; Издательство АСТ;;;unread;;
2025-02-04;2025-03-10;89E2A28F-83E7-4EDD-A1A6-D6300DE6A74A;sWLPDAEACAAJ;GOOGLE_BOOKS;Авиатор;;http://books.google.es/books?id=sWLPDAEACAAJ&hl=&source=gbs_api;BOOKSHELF;HARDCOVER;5170966555;9785170966554;2016-01-01;;;;;"Герой романа ""Авиатор"" - человек в состоянии tabula rasa: очнувшись однажды на больничной койке, он понимает, что не знает про себя ровным счётом ничего - ни своего имени, ни кто он такой, ни где находится. В надежде восстановить историю своей жизни, он начинает записывать посетившие его воспоминания, отрывочные и хаотичные: Петербург начала ХХ века, дачное детство в Сиверской и Алуште, гимназия и первая любовь, революция 1917-го, влюбленность в авиацию, Соловки… Но откуда он так точно помнит детали быта, фразы, запахи, звуки того времени, если на календаре - 1999 год?..
На передней стороне переплета рисунок Михаила Шемякина, созданный специально для этого издания.";;;;;410;;ru;;;;;;;;;Водолазкин,Евгений;;;; Издательство АСТ;;;unread;;
2022-09-18;2025-02-04;905F3F6F-C3F3-4361-88E7-9EF4E39CFD65;-RfsAAAACAAJ;GOOGLE_BOOKS;"Автостопом по Галактике ; Ресторан ""У конца Вселенной""";;http://books.google.es/books?id=-RfsAAAACAAJ&dq=%D0%94%D1%83%D0%B3%D0%BB%D0%B0%D1%81+%D0%B0%D0%B4%D0%B0%D0%BC%D1%81&hl=&cd=8&source=gbs_api;NOT_OWNED;EBOOK;5170324588;9785170324583;2008-01-01;;;;;;;;;4.0;346;;ru;2022-09-18;0;;Автостопом по галактике ;1-2;;;;Адамс,Дуглас;;;;;Adventure,Humor,Science fiction ;;read;2022-09-19;2022-10-11
2025-03-04;2025-03-10;5D26ACB7-ACD3-4ADB-9040-B640CB63820E;CB6F309F-85CD-49D3-98BF-F83A23FEC986;ISBNDB;Агнес Грей;;;BOOKSHELF;PAPERBACK;5170862199;9785170862191;2022-01-01;;;;;"Агнес Грей - девушка независимая, сдержанная и серьезная. Более того - она прирожденный педагог, который искренне желает чему-то научить своих питомцев и нисколько не страшится ради этого вступить в конфликт со снобами-работодателями, неизменно принимающими сторону своих избалованных чад.
Однако чего Агнес не могла даже вообразить, так это того, что однажды ее ученица, совсем юная красавица Розали Мэррей, бездумно и безжалостно учащаяся использовать на мужчинах свои недюжинные чары, станет весьма коварной соперницей собственной учительницы в борьбе за любовь обаятельного молодого священника Уэстона.";https://images.isbndb.com/covers/1774003484029.jpg;https://images.isbndb.com/covers/1774003484029.jpg;;;256;;ru;;;;;;;;;Бронте,Энн;;;Гурова,Ирина; Издательство АСТ;;;unread;;
